PRODUCTO ;group;Marca;CATEGORIA;;;
AEROFLUX SALBUTAMOL 120ML SALBUTAMOL AMBROXOL (SANFER) (1)    ;1;SANFER;ASMA / BRONCOESPASMO;;;
BROSOFLUX SOLUCIÓN Fco. 120 ML. 150-40 MG/100 ML.;1;COLLINS;ASMA / BRONCOESPASMO;;;
FLUXOL 120 ML  SALBUTAMOL, AMBROXOL (MAVER) (1);1;MAVER;ASMA / BRONCOESPASMO;;;ANALGESICOS
MUCOFLUX 120ML  SALBUTAMOL/AMBROXOL (LIOMONT);1;LIOMONT;ANTITUSIGENO;;;ANTIBIOTICOS
ADIOLOL 100MG C/50 + 50 DUO CAPS TRAMADOL (SBL) (2);2;SBL;ANALGESICO OPIODE;;;OPIODES
ADIOLOL 100MG C/50 CAPS TRAMADOL (SBL) (2);2;SBL;ANALGESICO OPIODE;;;
ADIOLOL 100MG C/60 + 60 DUO CAPS TRAMADOL (SBL) (2);2;SBL;ANALGESICO OPIODE;;;ANTIHISTAMINICOS
TRADOL 100MG  DUO;2;GRUNENTHAL;ANALGESICO OPIODE;;;
AFRINEX ACTIVE C/20 TABS  CLORFENAMINA/FENILEFRINA/PARACETAMOL (SCHERING-PLOUGH);3;SCHERING-PLOUGH;ANTIGRIPALES;;;
AFRINEX EFX 12 C/10 TABS  CLORFENAMINA/FENILEFRINA/PARACETAMOL  (SCHERING-PLOUGH);3;SCHERING-PLOUGH;ANTIGRIPALES;;;
AFRINEX HA C/20 TABS  CLORFENAMINA/FENILEFRINA/PARACETAMOL  (SCHERING-PLOUGH);3;SCHERING-PLOUGH;ANTIGRIPALES;;;
AFRINEX INFANTIL C/24 TABS masticables CLORFENAMINA/FENILEFRINA/PARACETAMOL  (SCHERING-PLOUGH);3;SCHERING-PLOUGH;ANTIGRIPALES;;;
AGRIFEN C/10 TABS PARACETAMOL, CAFEINA, FENILEFRINA, CLORFENAMINA (PISA) (3)                    ;3;PISA;ANTIGRIPALES;;;
BIOFLUSIN c/10 TABS. 500/25/5/4 MG.;3;BIORESEARCH;ANTIGRIPALES;;;
CLORFENAMINA COMPUESTA (Randall) c/10 TABS. 500/25/5/4 MG PARACETAMOL, CAFEINA, FENILEFRINA, CLORFENAMINA;3;RANDALL;ANTIGRIPALES;;;
KY6  COMPUESTA  C/10 TABS PARACETAMOL, CAFEINA, FENILEFRINA, CLORFENAMINA (BRULART);3;BRULART;ANTIGRIPALES;;;
KY6 C/10 TABS PARACETAMOL, CAFEINA, FENILEFRINA, CLORFENAMINA (BRULART) (3);3;BRULART;ANTIGRIPALES;;;
NEXT C/10 TABS PARACETAMOL, CAFEINA, FENILEFRINA, CLORFENAMINA (GENOMALAB) (3)                   ;3;GENOMALAB;ANTIGRIPALES;;;
